Table 1,,,,,,,,,,,
"Value of support by type of support, program stream and year 1, 2 (All federal departments and agencies)",,,,,,,,,,,
,,,,,,,,,,,
Type of support and program stream,Year of funding/support/award,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,"2007-2016
(Total value of support by type of support and program stream)"
MEDICAL DEVICES,...,...,...,...,...,...,...,...,...,...,...
MINING INNOVATION PROGRAM,...,...,"760,722",X,"1,163,045","1,225,691","1,378,925","625,963",X,X,"8,773,886"
NETWORK STRUCTURING,...,...,...,...,...,...,...,...,...,...,...
NEW BUSINESS DEVELOPMENT AND STARTUPS,...,...,...,...,...,...,...,...,...,...,...
"OCEAN, COASTAL AND RIVER ENGINEERING",...,...,...,...,...,...,...,...,...,...,...
PRODUCTIVITY AND EXPANSION,...,...,...,...,...,...,...,...,...,...,...
"RESEARCH, DEVELOPMENT AND KNOWLEDGE TRANSFER",...,...,"605,049",X,"7,744,460","7,391,072","8,661,343","14,020,920",X,"16,282,733","77,315,568"
TRADE COMMISSIONER SERVICE,...,...,...,...,...,...,...,...,...,...,...
Subtotal value of support (GOVERNMENT PERFORMED SERVICES),...,...,"1,365,771","7,027,211","11,976,563","11,956,668","10,592,583","15,452,000","18,096,301","18,047,810","94,514,907"
,...,...,...,...,...,...,...,...,...,...,...
OTHER,...,...,...,...,...,...,...,...,...,...,...
BUILD IN CANADA INNOVATION PROGRAM,...,...,...,...,"9,026,762","13,267,897","3,830,978","11,420,656","33,636,349","23,162,896","94,345,538"
DAVID FLORIDA LABORATORY,...,...,...,...,...,...,...,...,...,...,...
DEFENCE INNOVATION RESEARCH PROGRAM,"4,322,292","5,887,018","2,966,200","2,188,515","2,683,641",X,X,X,"3,414,785","374,235","32,503,295"
GENOME CANADA,...,...,...,...,...,...,...,"1,544,680","3,116,498","3,365,622","8,026,800"
INDUSTRY PARTNERED COLLABORATIVE RESEARCH (IPCR),"1,602,717","673,244","745,471","607,100","498,600",X,X,X,...,...,"4,678,382"
MITACS,...,...,...,...,...,"3,835,983","5,560,834","9,643,300","8,265,017","20,124,200","47,429,334"
STEM CELL NETWORK,...,...,...,...,...,...,...,...,...,"1,427,236","1,427,236"
Subtotal value of support (OTHER),"5,925,009","6,560,262","3,711,671","2,795,615","12,209,003","19,847,985","13,028,720","27,445,483","48,432,649","48,454,189","188,410,584"
Total value of support by year,"586,725,021","531,026,194","770,280,541","904,372,735","1,012,006,271","1,181,648,760","1,228,694,692","1,248,435,031","1,419,026,461","1,459,580,059","10,341,795,766"
,,,,,,,,,,,
"Source: Statistics Canada, Centre for Special Business Projects (2017)",,,,,,,,,,,
,,,,,,,,,,,
Notes:,,,,,,,,,,,
1. (…) not available,,,,,,,,,,,
2. (X) suppressed to meet the confidentiality requirements of Statistics Canada Act,,,,,,,,,,,
